iter	RMSE
0	116.6675275
1	113.6632926
2	110.758361
3	107.9193466
4	105.1569431
5	102.4609833
6	99.8444615
7	97.27717604
8	94.79687096
9	92.38260573
10	90.03471902
11	87.74684172
12	85.52286251
13	83.35774079
14	81.26264301
15	79.21296776
16	77.22433181
17	75.27936064
18	73.40542149
19	71.56108164
20	69.75659037
21	67.9997118
22	66.30407906
23	64.66159144
24	63.06529738
25	61.50242187
26	59.98868063
27	58.50734472
28	57.07468837
29	55.67410678
30	54.31166037
31	52.99019675
32	51.71200265
33	50.90688339
34	49.64895833
35	48.45143778
36	47.25296086
37	46.09996382
38	45.0012105
39	44.31028258
40	43.26372088
41	42.23761815
42	41.21572412
43	40.59295655
44	40.20336522
45	39.6026588
46	38.65212479
47	37.70156297
48	36.79609937
49	36.23836124
50	35.68554275
51	34.84390082
52	34.57762733
53	33.75925481
54	33.4418299
55	32.95291536
56	32.18236479
57	31.43678182
58	31.14111902
59	30.85433046
60	30.57956405
61	30.29287533
62	29.84559392
63	29.41052278
64	28.73966528
65	28.32029398
66	28.06943279
67	27.6887919
68	27.44040017
69	26.79716906
70	26.17075782
71	25.56796295
72	25.23866182
73	24.66693676
74	24.46448273
75	23.91209635
76	23.58774232
77	23.25816876
78	22.7564376
79	22.56239219
80	22.06236761
81	21.57133479
82	21.27810283
83	20.81579062
84	20.64649797
85	20.38176831
86	19.92570212
87	19.50690622
88	19.25846165
89	18.99507258
90	18.58668902
91	18.17996016
92	17.81241042
93	17.4448733
94	17.33654801
95	16.98558955
96	16.70462869
97	16.56708405
98	16.44945639
99	16.12011446
100	15.9312107
101	15.6847104
102	15.47809862
103	15.22818558
104	14.93784954
105	14.78553479
106	14.51148879
107	14.33731848
108	14.2051029
109	13.93270677
110	13.72843341
111	13.57777291
112	13.30434412
113	13.0657965
114	12.83068686
115	12.65443877
116	12.47340977
117	12.2485504
118	12.16400948
119	12.02816094
120	11.89486087
121	11.68008634
122	11.60344427
123	11.37405657
124	11.25635007
125	11.03880177
126	10.84162042
127	10.65632076
128	10.48072905
129	10.38302634
130	10.26810726
131	10.07853628
132	9.889159796
133	9.718837743
134	9.573513442
135	9.430634743
136	9.282329634
137	9.147886311
138	8.992189757
139	8.864412341
140	8.743801678
141	8.614893871
142	8.496594988
143	8.420307738
144	8.295921477
145	8.168953834
146	8.033827626
147	7.911667762
148	7.796074927
149	7.675712735
150	7.567456793
151	7.47728445
152	7.376326774
153	7.295401733
154	7.202141667
155	7.084113543
156	7.028610519
157	6.967949684
158	6.843396321
159	6.742780933
160	6.671727576
161	6.562499486
162	6.489329536
163	6.392598641
164	6.3040209
165	6.204275311
166	6.120756683
167	6.040283444
168	5.954932798
169	5.929122295
170	5.903574169
171	5.857029715
